"","trimmed_KO_SRR13633857","trimmed_KO_SRR13633858","trimmed_KO_SRR13633859","trimmed_KO_SRR13633860","trimmed_WT_SRR13633855","trimmed_WT_SRR13633856"
"ENSG00000000003",456.021368456033,469.902153476932,557.959653942105,695.141387495043,931.079608738717,549.521028157819
"ENSG00000000005",0,0,0,0,0,0
"ENSG00000000419",1668.67011955212,1182.00057108074,1432.4921611847,1159.87074205634,1361.03062641042,1131.59895744528
"ENSG00000000457",333.325036136024,296.017656155072,333.390786132073,376.860358950964,566.535009862711,546.561309873307
"ENSG00000000460",722.885891252053,238.056157047785,575.766876940257,375.884036777516,238.541056784299,77.9392481588289
"ENSG00000000938",0,0,0,0,0,0
"ENSG00000000971",1565.40070651611,2486.13430099469,2297.13176676165,3257.01077062284,232.769902184679,42.422628744679
"ENSG00000001036",2834.28527659221,1107.47864365709,2474.2147065766,1108.12566686359,2340.20319014597,1514.38918890889
"ENSG00000001084",1301.6035920281,1214.0864009437,1148.56588338082,680.496554893322,1478.37743660269,1699.86486807167
"ENSG00000001167",658.470316784048,704.853230215398,558.948944108669,547.716739304381,946.469354337704,1148.37069439085
"ENSG00000001460",404.89789665603,468.867126707159,441.223414287551,444.226588918883,486.700704567966,356.152766903003
"ENSG00000001461",1886.45610942014,2467.50381913878,1870.74770497255,2205.51178981924,2013.17109616749,2476.29763137545
"ENSG00000001497",2299.53376156417,1199.59602616688,2156.65256310956,1308.27171242045,1384.1152448089,1191.77989589703
"ENSG00000001561",299.583544748022,362.259369420542,280.958407304181,419.81853458268,521.327632165687,759.661026358206
"ENSG00000001617",616.549069908045,1227.54174895075,1065.46550938945,2106.90325030099,1332.17485341232,2506.88138698208
"ENSG00000001626",904.885450860066,1217.19148125302,1724.33276032108,1135.46268772013,4458.21692820656,2200.05725815429
"ENSG00000001629",2296.46635325617,2377.45649016853,2436.62168024717,2803.02095996948,2208.42849345464,2744.64542250458
"ENSG00000001630",5144.04373251638,5026.08999401758,3508.022930636,2257.25686501199,2341.16504924591,4247.19573827543
"ENSG00000001631",679.94217494005,773.164997020414,533.227399778005,650.230567516431,580.962896361762,728.090697990073
"ENSG00000002016",127.808679500009,54.8564187979678,115.74694948799,66.3899077944704,71.1775733953152,120.361876903508
"ENSG00000002079",9.20222492400067,13.4553480070487,4.94645083282008,1.95264434689619,15.3897455989871,4.93286380752082
"ENSG00000002330",1253.54752853609,1355.8850684026,1310.80947069732,1272.14779200287,1075.35847372922,947.109851043997
"ENSG00000002549",2734.0832718642,2327.77520521943,4918.75070815629,3529.40465701486,1569.75405109668,1323.98064593859
"ENSG00000002586",23.5167970280017,70.3818203445625,2.96787049969205,12.6921882548252,18.2753228987971,42.422628744679
"ENSG00000002587",775.031832488057,729.693872689949,1005.11880922904,1018.30402690636,2000.66692786832,1555.82524489207
"ENSG00000002726",1935.53464234814,5309.68732893538,1806.44384414589,5701.72149293687,1621.69444249326,3993.64653856885
"ENSG00000002745",0,1.03502676977298,0.989290166564016,0,0,0.986572761504164
"ENSG00000002746",10.2246943600007,18.6304818559136,16.8179328315883,17.5737991220657,0,12.8254458995541
"ENSG00000002822",825.13283485206,527.863652584219,746.914075755832,753.720717901929,626.170274058786,830.694265186506
"ENSG00000002834",31233.3738614943,33880.5662817487,28869.4656406711,31730.4706370631,26134.6736043798,20342.1437694544
"ENSG00000002919",606.324375548044,423.325948837148,664.802991931019,498.900630631976,548.259686963914,365.031921756541
"ENSG00000002933",32.7190219520024,186.304818559136,24.7322541641004,176.714313394105,50.0166731967079,228.884880668966
"ENSG00000003056",3009.12755014822,2411.61237357104,2360.44633742174,2322.67045063302,2597.01956982907,2962.678002797
"ENSG00000003096",17.3819804120013,3.10508030931893,4.94645083282008,2.92896652034428,0,0
"ENSG00000003137",1.02246943600007,1.03502676977298,1.97858033312803,3.90528869379238,11.5423091992403,9.86572761504164
"ENSG00000003147",987.705475176072,1757.47545507452,926.964886070483,1344.39563283803,1292.73863031491,2070.81622639724
"ENSG00000003249",1510.18735697211,1989.32145150366,1242.5484492044,1524.03891275247,1228.29407061915,1368.37642020628
"ENSG00000003393",1158.45787098808,778.340130869279,1308.83089036419,995.848616917056,708.890156653341,525.843281881719
"ENSG00000003400",582.807578520043,576.509910763549,571.809716274001,506.711208019561,341.459980477525,328.528729580887
"ENSG00000003402",2289.30906720417,2166.31102913484,2102.24160394853,1505.48879145696,1106.13796492719,1164.15585857491
"ENSG00000003436",2294.42141438417,3875.14022603003,2742.31234171545,3112.51508895252,4045.57937433372,4423.79226258467
"ENSG00000003509",461.133715636034,370.539583578726,527.291658778621,366.120815043035,465.539804369359,484.407225898544
"ENSG00000003756",691.189338736051,395.380226053277,616.327773769382,798.631537880541,857.016458043592,598.849666233027
"ENSG00000003987",15.3370415400011,11.3852944675028,10.8821918322042,11.7158660813771,9.61859099936691,7.89258209203331
"ENSG00000003989",0,1.03502676977298,5.9357409993841,11.7158660813771,460.730508869675,561.359901295869
"ENSG00000004059",4872.06686254036,5155.4683402392,4864.33974899527,4650.22251213327,4456.29321000669,3189.58973794296
"ENSG00000004139",517.369534616038,554.774348598316,422.426901122835,547.716739304381,521.327632165687,440.011451630857
"ENSG00000004142",5258.56030934838,3288.28004756875,4809.92878983425,3149.61533154355,4319.70921781568,3568.43367836056
"ENSG00000004399",931.469656196068,8489.28956567796,1326.63811336235,2657.54895612571,5765.38344502053,8897.89973600605
"ENSG00000004455",8333.12590340061,6027.99590715782,7691.73104503522,6275.79893092435,5585.51579333237,5243.63422739463
"ENSG00000004468",13.292102668001,21.7355621652325,24.7322541641004,36.1239204175795,0.961859099936691,0.986572761504164
"ENSG00000004478",11173.5459966088,4802.52421174662,7910.36417184587,5439.09082827933,4379.34448201175,7397.32256575822
"ENSG00000004487",4549.98899020033,4251.88997022739,4513.14173986504,4469.60291004538,3473.27320987139,2794.9606333413
"ENSG00000004534",846.604693008062,639.6465437197,943.782818902071,808.394759615022,986.867436535045,843.51971108606
"ENSG00000004660",315.943055724023,286.702415227115,334.380076298637,245.056865535472,265.473111582527,417.320278116261
"ENSG00000004700",1486.67055994411,989.485591902967,1380.0597823568,1050.52265863015,661.759060756444,508.084972174644
"ENSG00000004766",760.717260384056,501.987983339894,726.138982257988,598.485492323682,537.67923686461,459.74290686094
"ENSG00000004776",10.2246943600007,11.3852944675028,14.8393524984602,13.6685104282733,23.0846183984806,10.8523003765458
"ENSG00000004777",354.796894292026,405.730493751007,1185.16961954369,929.458709122586,385.705499074613,122.335022426516
"ENSG00000004779",2118.55667139215,1402.46127304238,2005.29116762526,1029.04357081429,1475.49185930288,1121.73322983023
"ENSG00000004799",99.1795352920073,410.905627599872,112.779078988298,540.882484090244,182.753228987971,444.944315438378
"ENSG00000004809",0,0,0,0,0,0
"ENSG00000004838",4.0898777440003,22.7705889350055,5.9357409993841,12.6921882548252,9.61859099936691,3.94629104601665
"ENSG00000004846",4.0898777440003,6.21016061863787,2.96787049969205,2.92896652034428,1.92371819987338,5.91943656902498
"ENSG00000004848",0,0,0,4.88161086724047,2.88557729981007,0
"ENSG00000004864",2313.84833366817,921.17382509795,2728.46227938356,1142.29694293427,1652.47393369124,1377.25557505981
"ENSG00000004866",1005.08745558807,609.630767396284,1108.0049865517,834.755458298121,918.57544043954,511.044690459157
"ENSG00000004897",2016.30972779215,1225.47169541121,1527.46401717484,966.558951713613,1184.04855202207,819.84196480996
