"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",609.937533377775,-0.240738045952441,0.401772791122729,-0.599189520225383,0.549046510397019,0.922464809381182
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",1322.6105296216,0.0565646508989816,0.350564153565748,0.161353208317613,0.871815218046807,0.983257242830962
"ENSG00000000457",408.781692851692,-0.648154952728319,0.311147260781888,-2.08311315709339,0.0372409103726145,0.273305157501693
"ENSG00000000460",371.512211160123,1.58807499358601,0.722839854997167,2.19699423407171,0.0280208580055657,0.230353869492154
"ENSG00000000938",0,NA,NA,NA,NA,NA
"ENSG00000000971",1646.81167930411,4.33469849225198,0.721483313958673,6.00803706529002,1.87782917904637e-09,2.05282687700856e-07
"ENSG00000001036",1896.44944545739,-0.105696367871202,0.605979156515101,-0.174422447925514,0.861533473823179,0.982271607303833
"ENSG00000001084",1253.83245598672,-0.797150039813842,0.381045564550594,-2.09200713503647,0.0364378774407447,0.270132749840589
"ENSG00000001167",760.804879856841,-0.920585006047866,0.297039879005149,-3.09919667733203,0.00194046158621892,0.0359931105775913
"ENSG00000001460",433.678083006765,0.0710176009587917,0.346989921745409,0.204667618591235,0.837831821444039,0.977686897995051
"ENSG00000001461",2153.28135848228,-0.139274759009381,0.325746882891771,-0.427555155011738,0.668975021317281,0.959049596340315
"ENSG00000001497",1589.9915339945,0.427728495624166,0.46735115842746,0.915218648571204,0.360076856485605,0.822358307124495
"ENSG00000001561",440.601419096553,-0.870102277931553,0.413890861386828,-2.10225051844849,0.0355313365837972,0.265904291735829
"ENSG00000001617",1475.91930315727,-0.27515800707282,0.56445896680467,-0.4874721162292,0.625923798339985,0.946414808634734
"ENSG00000001626",1940.02442775252,-1.21926342228592,0.477389639868162,-2.55402153809335,0.0106486669318295,0.123598307294594
"ENSG00000001629",2477.77323326676,0.0811698705747778,0.291941928970979,0.278034302441177,0.78098602692478,0.973668372230625
"ENSG00000001630",3753.96238495055,-0.192518323542427,0.4338094949147,-0.443785407648309,0.657197739509446,0.955596602085004
"ENSG00000001631",657.603122267789,-0.145426554883728,0.329628493084692,-0.441183204530693,0.65908037128595,0.956074181523243
"ENSG00000002016",92.7235676465434,-0.0725237615939365,0.668966515462679,-0.108411646797862,0.91366916277968,0.988431058835777
"ENSG00000002079",8.31321291954559,-1.56086645227468,1.38015619336956,-1.13093464332029,0.258082600748978,0.736304781446286
"ENSG00000002330",1202.47636406868,0.352873545454046,0.275875667532702,1.27910354910955,0.200860593990292,0.665637286583973
"ENSG00000002549",2733.95808988167,1.54567769697608,0.333244059050184,4.63827532704284,3.51328568878409e-06,0.000184196549683394
"ENSG00000002586",28.3761046284263,-1.95291811675138,1.09354048621981,-1.78586722792706,0.0741207583556364,0.410268168830122
"ENSG00000002587",1180.77345234563,-0.813684253958665,0.300229745975225,-2.71020531731659,0.00672415697587388,0.0902841076882578
