#Transcript position	Transcript coverage profile
0.0	0.13685800619746186
1.0	0.03941431856713908
2.0	0.021357506011240996
3.0	0.042114687445544294
4.0	0.01647086694568411
5.0	0.03004232221768218
6.0	0.03633144865759232
7.0	0.0311128477919514
8.0	0.03858471179917826
9.0	0.021530427622519832
10.0	0.014819979562640348
11.0	0.014088534387976281
12.0	0.02676365751145033
13.0	0.02063986861599595
14.0	0.023986762297069204
15.0	0.024357419166528654
16.0	0.031465480515092306
17.0	0.025648596171921157
18.0	0.0241957907064402
19.0	0.019031415722480658
20.0	0.03582694379405943
21.0	0.03702375973649595
22.0	0.03049487460748616
23.0	0.012610645331698022
24.0	0.035010399765999706
25.0	0.005447922757895295
26.0	0.012051718087562219
27.0	0.02968852073313271
28.0	0.019816392106086156
29.0	0.02575770943899219
30.0	0.02082451602239761
31.0	0.01708969701468455
32.0	0.02241327069267166
33.0	0.017700489297388766
34.0	0.03177463705285899
35.0	0.013018699506935679
36.0	0.04383215846255338
37.0	0.010492906296219127
38.0	0.03108722395648319
39.0	0.032872178002104374
40.0	0.007889709450572869
41.0	0.003642144755453441
42.0	0.0261121363764159
43.0	0.025451587673100233
44.0	0.016189692396410278
45.0	0.011029782765031857
46.0	9.46073793755913E-4
47.0	0.027920172749630497
48.0	0.03264317050384232
49.0	0.03397810737239751
50.0	0.027901443010239963
51.0	0.01363108357919689
52.0	0.024635769182062103
53.0	0.031068911341243306
54.0	0.04499106481755147
55.0	0.05570965609295553
56.0	0.09053156095191889
57.0	0.03550530145533683
58.0	0.02908481454733139
59.0	0.02534551780921883
60.0	0.037443141819632444
61.0	0.009817423935968576
62.0	0.01816812871228362
63.0	0.0052263966236120955
64.0	0.029251770290159258
65.0	0.040304372963275284
66.0	0.043152404339262034
67.0	0.025753286371221193
68.0	0.0066935152434529355
69.0	0.03485576706236203
70.0	0.03732510580295101
71.0	0.014898535067521534
72.0	0.03055691717252187
73.0	0.0631720110303183
74.0	0.019626007783181524
75.0	0.021757188244790133
76.0	0.039957812407295526
77.0	0.01953986133841366
78.0	0.023981440468122752
79.0	0.007604944572814077
80.0	0.0032513885110724457
81.0	0.036419546884756446
82.0	0.03277020979491626
83.0	0.03989798061156289
84.0	0.03032084389850251
85.0	0.024773601140164473
86.0	0.01662750191512976
87.0	0.03015625174643379
88.0	0.022709324189196373
89.0	0.033191687997082386
90.0	0.02196860476741639
91.0	0.04011974355823769
92.0	0.03771700607933253
93.0	0.05148595796753698
94.0	0.03154362799657738
95.0	0.04595641739467694
96.0	0.030270680468867668
97.0	0.025192189196637294
98.0	0.038403156300050194
99.0	0.013889507965225251
