#Transcript position	Transcript coverage profile
0.0	0.12832972361641942
1.0	0.022547326301871076
2.0	0.04296162652664443
3.0	0.028368731316752813
4.0	0.0338699641243766
5.0	0.043394714449250596
6.0	0.03723588583467674
7.0	0.02578597964746102
8.0	0.01397220691834545
9.0	0.00873831602041075
10.0	0.03671042167679749
11.0	0.03005939898895951
12.0	0.01059072157587894
13.0	0.02344284748798148
14.0	0.035073075303464894
15.0	0.02361193985843526
16.0	0.04262183515948201
17.0	0.02787402312474745
18.0	0.008562130336150643
19.0	0.005887190939769733
20.0	0.009418273266774522
21.0	0.0019157088122605363
22.0	0.01919877519107042
23.0	0.025220265438477975
24.0	0.027512089185676162
25.0	0.03288481726630209
26.0	0.025209284054718457
27.0	0.011299672901967145
28.0	0.016641405755303425
29.0	0.012660738909141336
30.0	0.010439781447585086
31.0	0.01563078650127919
32.0	0.00859735150541731
33.0	0.010801400987653347
34.0	0.010030761483271668
35.0	0.019181962215025508
36.0	0.014750734543511917
37.0	0.010851896020030073
38.0	0.028011572538946122
39.0	0.018620414277336843
40.0	0.01577248688952465
41.0	0.017485426669524125
42.0	0.02044889217846697
43.0	0.026502811167431927
44.0	0.0022320813954016714
45.0	0.029770622648116044
46.0	0.017213106044816247
47.0	0.02671508484973448
48.0	0.0041952174521046005
49.0	0.007611816635498079
50.0	0.016856136239106013
51.0	0.023010205118695115
52.0	0.010639807323646543
53.0	0.008333179327307566
54.0	0.009986238158444087
55.0	0.02162602942012957
56.0	0.030252038245465476
57.0	0.054368678548377916
58.0	0.04827006998253994
59.0	0.01301458127713482
60.0	0.009738058551617874
61.0	0.007622938716572445
62.0	0.01029861098109824
63.0	0.027697538214037927
64.0	0.02637901775099742
65.0	0.007516280785568448
66.0	0.006132726515036668
67.0	0.0
68.0	0.022601612596418564
69.0	0.0015527950310559005
70.0	0.018723085946798015
71.0	0.0442788798592605
72.0	0.013361806001655268
73.0	0.02909765768491626
74.0	0.03696572364286728
75.0	0.03587053314564721
76.0	0.0345535036717074
77.0	0.006877618030225528
78.0	0.01638297521611097
79.0	0.03127601363063248
80.0	0.033112403638375455
81.0	0.010560728004875324
82.0	0.02169512165358633
83.0	0.01184780339301101
84.0	0.017106839351566726
85.0	0.035327980270640165
86.0	0.030521769638500274
87.0	0.052239679350514434
88.0	0.027489556057088776
89.0	0.016925712352450235
90.0	0.03834641679446928
91.0	0.0228561722762367
92.0	0.008555830164412442
93.0	0.03916390153737139
94.0	0.05308026819565905
95.0	0.0810728427366979
96.0	0.029267045935350667
97.0	0.03283155238088856
98.0	0.027785056502497744
99.0	0.0032497678737233053
